index,current_price,market_cap,total_volume,date
rub,2604788.3140329057,50832710091821.6,1296558984448.311,21-09-2023
sar,101715.28200939728,1984984121141.994,50629781327.908585,21-09-2023
sek,302416.1208822217,5902382646574.55,150530596463.24014,21-09-2023
sgd,37048.10984203175,722907690299.4524,18441060800.884468,21-09-2023
thb,981674.9889196842,19151402273206.32,488638374118.5402,21-09-2023
try,732336.130884771,14296492824972.385,364527506906.94666,21-09-2023
twd,868222.3416172514,16943393731831.12,432166203855.4344,21-09-2023
uah,1001919.5442977648,19552562277801.53,498715300531.4096,21-09-2023
usd,27115.846446970816,529168513966.1614,13497179076.831764,21-09-2023
vef,2715.1097047351905,52985643303.431694,1351472540.963166,21-09-2023
vnd,658631548.3265685,1.2853261961075066e+16,327840326533776.94,21-09-2023
xag,1171.3994144983128,22854301283.16558,583075571.6551069,21-09-2023
xau,14.048991202640034,274162207.08586794,6993023.451497298,21-09-2023
xdr,20573.3892479386,401491793253.4331,10240606703.531952,21-09-2023
xlm,231877.9748628824,4525747401961.1,115419540998.58258,21-09-2023
xrp,52043.67494325148,1014858556577.9584,25905250713.792824,21-09-2023
yfi,5.076536954122892,98950307.98310529,2526896.163612299,21-09-2023
zar,511414.4629995115,9978583584711.309,254561575390.4401,21-09-2023
bits,999647.4008794024,19491916885991.08,497584318813.1787,21-09-2023
link,3928.522442940704,76635875278.0528,1955460657.421105,21-09-2023
sats,99964740.08794025,1949191688599108.0,49758431881317.87,21-09-2023
aed,97558.59163800304,1901664083249.996,30005805769.83991,22-09-2023
ars,9297278.538600214,181214679552219.8,2859536298478.79,22-09-2023
aud,41428.06387684999,807396565122.2378,12741906348.154482,22-09-2023
bch,127.32054973578067,2484075035.067314,39159602.67299403,22-09-2023
bdt,2916938.523080212,56858520907851.336,897154102950.5182,22-09-2023
bhd,10012.219255560163,195163515916.37903,3079428487.6736765,22-09-2023
bmd,26561.13345419872,517743774814.63885,8169328790.751264,22-09-2023
bnb,126.0521175551552,2457572033.6329927,38769474.76108969,22-09-2023
brl,131116.37918330616,2555893918749.952,40327074642.66441,22-09-2023
btc,1.0,19492343.0,307505.0593564978,22-09-2023
cad,35797.76761289629,697760696598.8145,11010212877.735006,22-09-2023
chf,24030.893320218234,468376905886.063,7391110360.815489,22-09-2023
clp,23610362.79362571,460225779844592.8,7261769037930.828,22-09-2023
cny,194095.482716557,3783412634457.981,59697370138.41481,22-09-2023
czk,609206.156905501,11874815896016.104,187371725144.6708,22-09-2023
dkk,185743.7858411524,3620323345391.361,57128663578.75235,22-09-2023
dot,6617.295290625906,128943359513.45251,2035261824.4936936,22-09-2023
eos,46117.02115371201,899240262018.7253,14184074987.023932,22-09-2023
eth,16.768308829429877,326706404.4694284,5157378.856918313,22-09-2023
eur,24915.0072083747,485629163950.43616,7663034638.944438,22-09-2023
gbp,21607.349259323324,421182489836.6097,6645708124.63218,22-09-2023
hkd,207743.9211419972,4049351724391.509,63895179737.54241,22-09-2023
huf,9665874.452805627,188406891830612.5,2972904247149.5044,22-09-2023
idr,409253944.262293,7977447437348986.0,125873018007895.22,22-09-2023
ils,101330.06009943163,1975179557323.4817,31165785103.496277,22-09-2023
inr,2201959.186232191,42921762470472.086,677250035551.5619,22-09-2023
jpy,3921398.470996086,76425970703600.6,1206092860621.2122,22-09-2023
krw,35629733.25029663,694506510260608.2,10958531048772.85,22-09-2023
kwd,8203.113894861264,159899469669.9782,2523007334.406825,22-09-2023
lkr,8658238.571304228,168771002520757.97,2662988677035.075,22-09-2023
ltc,410.7139071723427,8007003433.818984,126322054.4563986,22-09-2023
mmk,55813249.1785932,1087941610783442.4,17166314992027.545,22-09-2023
mxn,457488.9626151181,8917359905519.924,140708519091.89957,22-09-2023
myr,124611.55760037329,2428994919542.8667,38326406021.80956,22-09-2023
ngn,20452233.348345835,398665836886133.75,6290432560640.329,22-09-2023
nok,286245.5901160821,5579587459077.042,88039704502.56674,22-09-2023
nzd,44765.62966217077,872452623659.0222,13768431526.685122,22-09-2023
php,1509004.4740500653,29414319759888.035,464120016432.5426,22-09-2023
pkr,7727005.179277749,150618904740269.06,2376571993292.677,22-09-2023
pln,114981.28744388426,2240960735405.7017,35364452482.146805,22-09-2023
rub,2552298.7568971342,49750768171444.125,785002934956.5432,22-09-2023
sar,99633.839555913,1942115922120.0388,30644083597.590088,22-09-2023
sek,296765.15358175087,5783643224325.859,91275175339.47252,22-09-2023
sgd,36303.99625539984,707634070384.5286,11165912115.157928,22-09-2023
thb,959149.0901645684,18696504324218.82,295002631962.8184,22-09-2023
try,720311.3515832805,14041263465094.252,221544019307.0544,22-09-2023
twd,854110.4318065947,16646600878851.45,262696204326.91364,22-09-2023
uah,981560.179322216,19133094351050.14,301895543976.6588,22-09-2023
usd,26561.13345419872,517743774814.63885,8169328790.751264,22-09-2023
vef,2659.566292768913,51841684172.18972,817994891.8179227,22-09-2023
vnd,646099430.764987,1.2594114583501508e+16,198718879619274.9,22-09-2023
xag,1133.23633666141,22098888605.0397,348546128.4164476,22-09-2023
xau,13.824538740241296,269506344.5420117,4251972.249010202,22-09-2023
xdr,20153.313130640185,392839124628.1573,6198494558.640103,22-09-2023
xlm,233389.6463257768,4550327168847.874,71782959130.1205,22-09-2023
xrp,52415.80175269582,1021460268851.7458,16121372195.467035,22-09-2023
yfi,5.202436184551014,101386713.79178724,1600097.8187841752,22-09-2023
zar,503431.7551508455,9813108928070.518,154839007101.26202,22-09-2023
bits,999798.5304075542,19489580857941.93,307505059356.4978,22-09-2023
link,3977.3205447533433,77473126625.02104,1223292646.46512,22-09-2023
sats,99979853.04075542,1948958085794192.8,30750505935649.78,22-09-2023
aed,97595.90733915928,1903961697381.4128,36611421215.56386,23-09-2023
ars,9297249.547056513,181376530135395.5,3487702800186.176,23-09-2023
aud,41248.12019705847,804693998809.444,15473520806.940468,23-09-2023
bch,127.8926670620656,2490541937.178852,47976728.039623655,23-09-2023
bdt,2915714.215165707,56881567450304.05,1093779894936.3042,23-09-2023
bhd,10015.824897425657,195394945262.48367,3757263948.237824,23-09-2023
bmd,26572.0381115526,518383856096.9625,9968041758.936825,23-09-2023
bnb,125.91895365000948,2454909801.6227307,47236323.49748973,23-09-2023
brl,131156.9229148122,2558690875309.0005,49201257317.936165,23-09-2023
btc,1.0,19493125.0,375083.9530721553,23-09-2023
cad,35852.32242201233,699325741067.6072,13449380343.245502,23-09-2023
chf,24084.89534431125,469917557471.1769,9035033050.30033,23-09-2023
clp,23760716.479350287,463538844121903.6,8913422940841.29,23-09-2023
cny,193922.73413811097,3783165381795.626,72746768756.72098,23-09-2023
czk,609108.1724273084,11882861294925.057,228496424435.93265,23-09-2023
dkk,186041.46763422448,3629412730077.2783,69790247571.02031,23-09-2023
dot,6613.496221297831,128905423509.18018,2480939031.8391256,23-09-2023
eos,46145.49485437427,898892803626.5706,17310686435.27286,23-09-2023
eth,16.6818729159709,325102965.7703934,6257916.880353258,23-09-2023
eur,24917.92873910841,486114461054.92615,9347531159.442991,23-09-2023
gbp,21707.41537835632,423481768409.7236,8143162450.002976,23-09-2023
hkd,207807.95265330252,4054046865799.095,77955568977.85332,23-09-2023
huf,9717660.057775892,189578160013220.2,3645412551660.782,23-09-2023
idr,408068117.8810184,7960846797273859.0,153079715694080.56,23-09-2023
ils,101169.8464651635,1973684326026.4575,37952122832.14101,23-09-2023
inr,2208119.09524525,43077361492151.2,828337790940.5072,23-09-2023
jpy,3940101.81118102,76865958182057.67,1478061232015.1523,23-09-2023
krw,35491075.5638857,692381989315188.9,13313864815532.73,23-09-2023
kwd,8210.494056088632,160175427695.40054,3080025223.093887,23-09-2023
lkr,8614989.988598159,168066586077363.8,3231764895062.145,23-09-2023
ltc,413.15485830903697,8057134774.444521,154987918.62493956,23-09-2023
mmk,55793803.27389273,1088460236509345.2,20930082916081.32,23-09-2023
mxn,457405.7496446435,8923356022081.898,171587877229.98645,23-09-2023
myr,124662.71680034931,2431997860878.903,46765067912.052216,23-09-2023
ngn,20473755.364951234,399414761122708.8,7680376175260.806,23-09-2023
nok,286465.1712692148,5588540837424.531,107462467790.57008,23-09-2023
nzd,44591.44060429213,869917573967.4209,16727709789.09166,23-09-2023
php,1510421.1295000052,29466235376959.367,566608433618.4501,23-09-2023
pkr,7784278.5647793235,151860550643605.28,2920137833280.5386,23-09-2023
pln,114882.8781733924,2241206682642.42,43096330142.67553,23-09-2023
rub,2558887.5624349318,49920371044359.98,959922531034.0742,23-09-2023
sar,99672.59183369136,1944474950886.9573,37390453583.15002,23-09-2023
sek,295930.1312445503,5773189166966.258,111013084265.10356,23-09-2023
sgd,36294.746856569625,708060509042.8413,13615348238.53178,23-09-2023
thb,953640.7934290892,18604218078936.58,357741894393.6392,23-09-2023
try,722034.0199937846,14085889006565.94,270858608303.06235,23-09-2023
twd,854397.3134388617,16668114508941.729,320512414716.8544,23-09-2023
uah,981263.0116308864,19143089501794.21,368103893098.9727,23-09-2023
usd,26572.0381115526,518383856096.9625,9968041758.936825,23-09-2023
vef,2660.658176109756,51905775510.98878,998100021.322342,23-09-2023
vnd,647625514.7723422,1.26342815799481e+16,242945541034619.03,23-09-2023
xag,1128.132884130356,22008318376.26441,423199592.4223881,23-09-2023
xau,13.80071943399702,269233023.3410804,5177101.848338997,23-09-2023
xdr,20146.706719874288,393034492621.8678,7557689517.291828,23-09-2023
xlm,232291.49142462795,4534031588227.154,87140146233.63463,23-09-2023
xrp,51887.80199584854,1011436282253.5385,19464813910.875526,23-09-2023
yfi,5.159945105133216,100579869.8232785,1935664.402777881,23-09-2023
zar,498333.0656255813,9721791572596.686,186941053868.77127,23-09-2023
bits,999869.9179936176,19495091388348.863,375083953072.1553,23-09-2023
link,3829.570119336021,74643798978.5125,1436597174.3703654,23-09-2023
sats,99986991.79936177,1949509138834886.5,37508395307215.53,23-09-2023
aed,97602.8320702311,1902435426060.274,24180446563.764626,24-09-2023
ars,9301537.565992529,181301855766250.84,2304393502777.578,24-09-2023
aud,41251.04687859025,804048932590.7479,10219669999.22054,24-09-2023
bch,127.69285290327828,2491615465.772432,31635047.26974124,24-09-2023
bdt,2905989.8342644023,56642393373355.79,719939477285.9814,24-09-2023
bhd,10016.535551138171,195238310965.86945,2481529454.7402544,24-09-2023
bmd,26573.9234797301,517968304453.2548,6583511185.708387,24-09-2023
bnb,126.31799202745988,2462386450.7563863,31294434.71542093,24-09-2023
brl,131155.5993342082,2556432566629.0503,32492919457.063824,24-09-2023
btc,1.0,19494112.0,247788.56708214505,24-09-2023
cad,35854.86625502582,698868734783.5544,8882802467.317038,24-09-2023
chf,24092.184765958085,469595244500.3654,5968677076.075075,24-09-2023
clp,23762402.375574622,463167257842100.94,5886975702260.432,24-09-2023
cny,193909.9196315905,3779614717595.4033,48039881122.1141,24-09-2023
czk,609151.3905335048,11873335646151.531,150913168558.8747,24-09-2023
dkk,186054.6678509826,3626503286799.0312,46093795215.61877,24-09-2023
dot,6592.549865233645,128554389110.6508,1633259981.846943,24-09-2023
eos,45700.35842571435,890743604434.7764,11321957072.543991,24-09-2023
